"webpbn.com #2870: Engarde!"
"Copyright 2008 by Helen"

,,,,,,,,,,,,,,,,,,,,,,1,,,,,
,,,,,,,,,,,,,,,,,,,,,,1,1,,,,
,,,,,,,,,,,,,,,,,,,,,,1,1,,,,
,,,,,,,,,,,,,,,,,,,,,,2,1,,,,
,,,,,,,,,,,,,,,,,,,,,,3,3,,,,
,,,,,,,,,,,,,,,,,,,,,,1,1,,,,
,,,,,,,,,,,,,,,,,,,,,,1,1,,,,
,,,,,,,,,,,,,,,,,,,,,1,2,2,,,,
,,,,,,,,,,,,6,,,,,,,,,1,1,1,,,,
,,,,,,,,6,,6,,1,,,5,,,1,27,,2,1,1,,,,
,,,,,,,,1,5,1,5,21,29,28,18,27,27,1,1,27,2,3,3,29,30,,
,,,,,,,,31,30,31,30,8,8,8,8,8,8,2,2,8,8,8,8,8,8,40,40
,,,,,10,2,4
,,,,,10,2,6
,,,,,10,2,4
,,,,,10,2,6
,,,,,10,2,4
,,,1,1,3,2,9
,,,,2,2,2,4
,1,1,3,2,2,1,4
,,,2,2,2,1,4
,,1,1,3,2,2,4
,,,,,10,2,6
,,,,,10,2,6
,,,,,,10,9
,,,,,10,2,4
,,,,,10,2,6
,,,,,10,2,4
,,,,,10,2,6
,,,,,10,2,4
,,,,,,10,9
,,,,,,10,9
,,,,,10,2,4
,,,,,10,2,6
,,,,,10,2,4
,,,,,10,2,6
,,,,,10,2,4
,,,,,,10,9
,,,,,,,20
,,,,,,8,6
,,,,,,6,4
,,,,,,5,3
,,,,,,4,2
,,,,,,4,2
,,,,,,,20
,,,,,,10,8
,,,,,,10,8
,,,,,,10,8
,,,,,,10,8
,,,,,,10,8
,,,,,,,20
,,,,,,,20
