"webpbn.com #3617: S.P. #2... Who am I?"
"Copyright 2008 by Adam Nielson"

,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,,,,,,,,1,1,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,,,,,,,2,1,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,2,1,1,1,,1,,,1,1,2,1,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,1,2,3,1,1,1,2,1,1,1,3,3,1,1,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,3,2,2,1,1,2,2,1,1,1,1,1,1,1,2,2,1,1,2,2,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,1,3,2,2,3,1,1,1,1,1,1,2,2,2,1,1,1,2,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,3,2,2,3,2,2,5,2,2,2,1,2,3,1,2,2,2,2,4,3,2,3,3,2,2,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,4,3,2,1,2,2,6,5,5,2,2,2,2,16,14,2,14,16,2,2,2,2,4,4,6,2,2,1,3,4,5,6,,,,,,,,,
,,,,,,,,,,,,,4,10,,,11,9,9,6,2,2,2,2,2,5,2,2,2,2,2,2,4,1,2,1,2,1,4,2,2,2,2,2,2,5,2,2,2,2,2,2,8,8,10,,,,8,,
,,,,,,,,,,,,,3,6,,13,3,3,13,13,2,2,2,5,8,4,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,4,7,5,2,2,2,2,13,13,2,13,11,,8,7,
,,,,,,,,,,,,12,6,3,31,4,4,3,3,3,3,2,3,2,3,2,3,2,2,2,2,2,1,1,1,1,1,1,1,1,2,2,2,2,2,3,2,3,2,3,2,3,3,3,3,4,5,29,4,5,13
,,,,,,,,,,,18
,,,,,,,,,,4,3
,,,,,,,,,,4,2
,,,,,,,,,,5,3
,,,,,,,,,6,5,3
,,,,,,,,,6,3,5
,,,,,,,,,6,4,5
,,,,,,,,,7,12,7
,,,,,,,,,,6,7
,,,,,,,,7,6,5,7
,,,,,,,,6,5,4,7
,,,,,,,,,6,4,7
,,,,,,,,7,4,4,7
,,,,,,,,6,8,7,7
,,,,,,5,6,2,2,4,6
,,,,,,,,5,4,3,6
,,,,,,,3,5,4,3,6
,,,,,,,,6,7,6,5
,,,,,,,9,3,5,2,9
,,,,,,,2,1,40,1,2
,,,,,,,1,1,36,1,1
,,1,2,2,3,2,2,3,2,2,1
,,1,2,2,3,2,2,3,2,2,1
,,1,2,2,2,2,2,2,2,2,1
,1,2,2,3,2,5,2,2,2,2,1
,1,2,2,2,2,5,2,2,2,2,1
,,1,2,2,3,2,2,3,2,2,1
,,1,1,2,2,2,2,2,2,2,1
,,2,1,2,2,2,2,2,2,2,1
,,,,,,2,1,17,18,1,2
,,,,,,1,1,17,18,1,2
,,,,1,1,2,2,2,2,1,1
,,,,,,,,3,8,8,3
,,,,,,,,3,6,6,3
,,,,,,,,,,2,2
,,,,,,,,,,1,2
,,,,,,,,2,2,2,2
,,,,,,,,,2,3,2
,,,,,,,,,,2,3
,,,,,,,,,,2,2
,,,,,,,,,2,9,3
,,,,,,,,,3,13,3
,,,,,,,,3,2,2,3
,,,,,,,,,,3,3
,,,,,,,,,,4,4
,,,,,,,,,,5,5
,,,,,,,,,,5,5
,,,,,,,,,,5,5
,,,,,,,,,,6,6
,,,,,,,,,,,14
